,rank,title,budget,IMDB_id,revenue,domesticRevenue,percentage,foreign,percentage2,bo_year
0,1,Indiana Jones and the Raiders of the Lost Ark,18000000,tt0082971,212222025,212222025,100,-,-,1981
1,2,On Golden Pond,0,tt0082846,119285432,119285432,100,-,-,1981
2,3,Superman II,54000000,tt0081573,108185706,108185706,100,-,-,1981
3,4,Arthur,0,tt0082031,95461682,95461682,100,-,-,1981
4,5,Stripes,0,tt0083131,85297000,85297000,100,-,-,1981
5,6,The Cannonball Run,0,tt0082136,72179579,72179579,100,-,-,1981
6,7,Chariots of Fire,0,tt0082158,58972904,58972904,100,-,-,1981
7,8,For Your Eyes Only,0,tt0082398,54812802,54812802,100,-,-,1981
8,9,The Four Seasons,0,tt0082405,50427646,50427646,100,-,-,1981
9,10,Time Bandits,0,tt0081633,42365581,42365581,100,-,-,1981
10,11,Clash of the Titans,0,tt0082186,41092328,41092328,100,-,-,1981
11,12,Absence of Malice,0,tt0081974,40716963,40716963,100,-,-,1981
12,13,Reds,32000000,tt0082979,40382788,40382659,100,129,0.1,1981
13,14,The Fox and the Hound,0,tt0082406,39900000,39900000,100,-,-,1981
14,15,Tarzan the Ape Man,0,tt0083170,36565280,36565280,100,-,-,1981
15,16,Taps,0,tt0083169,35856053,35856053,100,-,-,1981
16,17,Sharkys Machine,0,tt0083064,35610100,35610100,100,-,-,1981
17,18,Excalibur,0,tt0082348,34967437,34967437,100,-,-,1981
18,19,Endless Love,0,tt0082329,32492674,31184024,96,1308650,4,1981
19,20,History of the World Part I,0,tt0082517,31672907,31672907,100,-,-,1981
20,21,Bustin Loose,0,tt0082121,31261269,31261269,100,-,-,1981
21,22,The Great Muppet Caper,0,tt0082474,31206251,31206251,100,-,-,1981
22,23,An American Werewolf in London,0,tt0082010,30565292,30565292,100,-,-,1981
23,24,Neighbors,0,tt0082801,29916207,29916207,100,-,-,1981
24,25,Fort Apache the Bronx,0,tt0082402,29200000,29200000,100,-,-,1981
25,26,Cinderella 1981 Re-release,0,tt0042332,28040000,28040000,100,-,-,1981
26,27,The French Lieutenants Woman,0,tt0082416,26890068,26890068,100,-,-,1981
27,28,Private Lessons,0,tt0082948,26279000,26279000,100,-,-,1981
28,29,Modern Problems,0,tt0082763,26154211,26154211,100,-,-,1981
29,30,Halloween II,0,tt0082495,25533818,25533818,100,-,-,1981
30,31,Only When I Laugh,0,tt0082853,25524778,25524778,100,-,-,1981
31,32,Escape from New York,0,tt0082340,25244626,25244626,100,-,-,1981
32,33,Body Heat,0,tt0082089,24058838,24058838,100,-,-,1981
33,34,Ghost Story,0,tt0082449,23371905,23371905,100,-,-,1981
34,35,Friday the 13th Part 2,0,tt0082418,21722776,21722776,100,-,-,1981
35,36,The Final Conflict,0,tt0082377,20471382,20471382,100,-,-,1981
36,37,The Incredible Shrinking Woman,0,tt0082558,20259961,20259961,100,-,-,1981
37,38,Mommie Dearest,0,tt0082766,19032261,19032261,100,-,-,1981
38,39,Paternity,0,tt0082886,18838812,18838812,100,-,-,1981
39,40,Under the Rainbow,0,tt0083254,18826490,18826490,100,-,-,1981
40,41,The Howling,0,tt0082533,17985893,17985893,100,-,-,1981
41,42,Eye of the Needle,0,tt0082351,17583634,17583634,100,-,-,1981
42,43,Take This Job and Shove It,0,tt0083163,17569027,17569027,100,-,-,1981
43,44,Outland,0,tt0082869,17374595,17374595,100,-,-,1981
44,45,The Devil and Max Devlin,0,tt0082263,16000000,16000000,100,-,-,1981
45,46,Caveman,0,tt0082146,15965924,15965924,100,-,-,1981
46,47,Continental Divide,0,tt0082200,15578237,15578237,100,-,-,1981
47,48,The Night the Lights Went Out in Georgia,0,tt0082816,14923752,14923752,100,-,-,1981
48,49,Ragtime,0,tt0082970,14920781,14920781,100,-,-,1981
49,50,Nighthawks,0,tt0082817,14905359,14905359,100,-,-,1981
50,51,S.O.B.,0,tt0083015,14867086,14867086,100,-,-,1981
51,52,Rich and Famous,0,tt0082992,14492125,14492125,100,-,-,1981
52,53,Scanners,0,tt0081455,14225876,14225876,100,-,-,1981
53,54,Dragonslayer,0,tt0082288,14110013,14110013,100,-,-,1981
54,55,True Confessions,0,tt0083232,12850276,12850276,100,-,-,1981
55,56,Atlantic City,0,tt0080388,12729675,12729675,100,-,-,1981
56,57,The Legend of the Lone Ranger,0,tt0082648,12617845,12617845,100,-,-,1981
57,58,First Monday in October,0,tt0082382,12480249,12480249,100,-,-,1981
58,59,The Postman Always Rings Twice,0,tt0082934,12383416,12376625,99.9,6791,0.1,1981
59,60,Blow Out,0,tt0082085,12000000,12000000,100,-,-,1981
60,61,Back Roads,0,tt0082042,11809387,11809387,100,-,-,1981
61,62,Thief,0,tt0083190,11492915,11492915,100,-,-,1981
62,63,Victory,0,tt0083284,10853418,10853418,100,-,-,1981
63,64,Rollover,0,tt0083006,10851261,10851261,100,-,-,1981
64,65,Wolfen,0,tt0083336,10626725,10626725,100,-,-,1981
65,66,Carbon Copy,0,tt0082138,9566593,9566593,100,-,-,1981
66,67,Pennies from Heaven,0,tt0082894,9171289,9171289,100,-,-,1981
67,68,Deadly Blessing,0,tt0082245,8279042,8279042,100,-,-,1981
68,69,Whose Life Is It Anyway,0,tt0083326,8206145,8206145,100,-,-,1981
69,70,Prince of the City,0,tt0082945,8124257,8124257,100,-,-,1981
70,71,The Funhouse,0,tt0082427,7886857,7886857,100,-,-,1981
71,72,Buddy Buddy,0,tt0082111,7258543,7258543,100,-,-,1981
72,73,La Cage aux Folles II,0,tt0080489,6950125,6950125,100,-,-,1981
73,74,...All the Marbles,0,tt0081964,6468195,6468195,100,-,-,1981
74,75,Eyewitness,0,tt0082353,6400000,6400000,100,-,-,1981
75,76,Gallipoli,0,tt0082432,5732587,5732587,100,-,-,1981
76,77,My Bloody Valentine,0,tt0082782,5672031,5672031,100,-,-,1981
77,78,Going Ape,0,tt0082457,5504218,5504218,100,-,-,1981
78,79,The Dogs of War,0,tt0080641,5484132,5484132,100,-,-,1981
79,80,Student Bodies,0,tt0083133,5165432,5165432,100,-,-,1981
80,81,The Watcher in the Woods,0,tt0081738,5000000,5000000,100,-,-,1981
