,title,budget,IMDB_id,revenue,year
0,Indiana Jones and the Raiders of the Lost Ark,18000000,tt0082971,212222025,1981
1,On Golden Pond,0,tt0082846,119285432,1981
2,Superman II,54000000,tt0081573,108185706,1981
3,Arthur,0,tt0082031,95461682,1981
4,Stripes,0,tt0083131,85297000,1981
5,The Cannonball Run,0,tt0082136,72179579,1981
6,Chariots of Fire,0,tt0082158,58972904,1981
7,For Your Eyes Only,0,tt0082398,54812802,1981
8,The Four Seasons,0,tt0082405,50427646,1981
9,Time Bandits,0,tt0081633,42365581,1981
10,Clash of the Titans,0,tt0082186,41092328,1981
11,Absence of Malice,0,tt0081974,40716963,1981
12,Reds,32000000,tt0082979,40382788,1981
13,The Fox and the Hound,0,tt0082406,39900000,1981
14,Tarzan the Ape Man,0,tt0083170,36565280,1981
15,Taps,0,tt0083169,35856053,1981
16,Sharkys Machine,0,tt0083064,35610100,1981
17,Excalibur,0,tt0082348,34967437,1981
18,Endless Love,0,tt0082329,32492674,1981
19,History of the World Part I,0,tt0082517,31672907,1981
20,Bustin Loose,0,tt0082121,31261269,1981
21,The Great Muppet Caper,0,tt0082474,31206251,1981
22,An American Werewolf in London,0,tt0082010,30565292,1981
23,Neighbors,0,tt0082801,29916207,1981
24,Fort Apache the Bronx,0,tt0082402,29200000,1981
25,Cinderella 1981 Re-release,0,tt0042332,28040000,1981
26,The French Lieutenants Woman,0,tt0082416,26890068,1981
27,Private Lessons,0,tt0082948,26279000,1981
28,Modern Problems,0,tt0082763,26154211,1981
29,Halloween II,0,tt0082495,25533818,1981
30,Only When I Laugh,0,tt0082853,25524778,1981
31,Escape from New York,0,tt0082340,25244626,1981
32,Body Heat,0,tt0082089,24058838,1981
33,Ghost Story,0,tt0082449,23371905,1981
34,Friday the 13th Part 2,0,tt0082418,21722776,1981
35,The Final Conflict,0,tt0082377,20471382,1981
36,The Incredible Shrinking Woman,0,tt0082558,20259961,1981
37,Mommie Dearest,0,tt0082766,19032261,1981
38,Paternity,0,tt0082886,18838812,1981
39,Under the Rainbow,0,tt0083254,18826490,1981
40,The Howling,0,tt0082533,17985893,1981
41,Eye of the Needle,0,tt0082351,17583634,1981
42,Take This Job and Shove It,0,tt0083163,17569027,1981
43,Outland,0,tt0082869,17374595,1981
44,The Devil and Max Devlin,0,tt0082263,16000000,1981
45,Caveman,0,tt0082146,15965924,1981
46,Continental Divide,0,tt0082200,15578237,1981
47,The Night the Lights Went Out in Georgia,0,tt0082816,14923752,1981
48,Ragtime,0,tt0082970,14920781,1981
49,Nighthawks,0,tt0082817,14905359,1981
50,S.O.B.,0,tt0083015,14867086,1981
51,Rich and Famous,0,tt0082992,14492125,1981
52,Scanners,0,tt0081455,14225876,1981
53,Dragonslayer,0,tt0082288,14110013,1981
54,True Confessions,0,tt0083232,12850276,1981
55,Atlantic City,0,tt0080388,12729675,1981
56,The Legend of the Lone Ranger,0,tt0082648,12617845,1981
57,First Monday in October,0,tt0082382,12480249,1981
58,The Postman Always Rings Twice,0,tt0082934,12383416,1981
59,Blow Out,0,tt0082085,12000000,1981
60,Back Roads,0,tt0082042,11809387,1981
61,Thief,0,tt0083190,11492915,1981
62,Victory,0,tt0083284,10853418,1981
63,Rollover,0,tt0083006,10851261,1981
64,Wolfen,0,tt0083336,10626725,1981
65,Carbon Copy,0,tt0082138,9566593,1981
66,Pennies from Heaven,0,tt0082894,9171289,1981
67,Deadly Blessing,0,tt0082245,8279042,1981
68,Whose Life Is It Anyway,0,tt0083326,8206145,1981
69,Prince of the City,0,tt0082945,8124257,1981
70,The Funhouse,0,tt0082427,7886857,1981
71,Buddy Buddy,0,tt0082111,7258543,1981
72,La Cage aux Folles II,0,tt0080489,6950125,1981
73,...All the Marbles,0,tt0081964,6468195,1981
74,Eyewitness,0,tt0082353,6400000,1981
75,Gallipoli,0,tt0082432,5732587,1981
76,My Bloody Valentine,0,tt0082782,5672031,1981
77,Going Ape,0,tt0082457,5504218,1981
78,The Dogs of War,0,tt0080641,5484132,1981
79,Student Bodies,0,tt0083133,5165432,1981
80,The Watcher in the Woods,0,tt0081738,5000000,1981
81,All Night Long,0,tt0082001,4454295,1981
82,The Pursuit of D.B. Cooper,0,tt0082958,3702028,1981
83,Zoot Suit,0,tt0083365,3256082,1981
84,The Fan,0,tt0082362,3082096,1981
85,The Last Metro,0,tt0080610,3007436,1981
86,Gas,0,tt0082440,2869425,1981
87,Modern Romance,0,tt0082764,2863642,1981
88,The Hand,0,tt0082497,2447576,1981
89,Heartbeeps,0,tt0082507,2154696,1981
90,This Is Elvis,0,tt0083193,2028612,1981
